CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Sunday 07 April 2019
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),369,224,110,97,30,46,50,92,361,930,1861,2676,3258,3626,3767,3621,3460,2946,2097,1352,850,506,254,180
Bourke Street Mall (South),246,209,9,40,27,31,46,117,254,516,1259,1876,2125,2276,2517,2291,2096,1732,1071,750,438,306,161,78
Melbourne Central,1267,733,437,208,115,74,98,185,371,702,1019,1377,2084,2737,2573,2414,2500,2467,2651,2504,1898,1442,888,515
Town Hall (West),998,939,36,388,106,75,150,252,440,1022,1531,2208,3036,3294,3219,3151,2942,2869,2324,2218,1655,1245,769,479
Princes Bridge,1040,583,414,190,124,166,314,618,1054,1892,2988,3887,4281,4295,4309,4369,4388,4753,3834,3462,2800,2213,1115,524
Flinders Street Station Underpass,851,484,207,154,105,108,158,287,544,991,1262,1668,1875,1943,2048,2136,1852,1756,1809,1284,1035,961,665,424
Birrarung Marr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Webb Bridge,45,22,23,3,3,12,37,183,385,334,435,656,572,479,379,338,360,382,271,147,73,56,50,21
Southern Cross Station,51,39,52,20,7,26,107,333,1124,844,525,933,612,628,278,155,147,165,194,130,78,67,46,43
Victoria Point,21,15,18,6,9,13,37,172,606,684,483,868,814,282,217,99,136,208,79,79,64,48,22,25
Waterfront City,1,3,8,19,8,10,12,16,22,48,1610,4510,1634,163,90,241,94,84,108,80,76,35,42,9
New Quay,122,29,19,9,4,20,74,190,764,1030,1931,5682,3685,1813,1165,726,673,859,570,477,381,274,136,70
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,401,246,232,85,73,80,117,133,254,416,468,636,660,655,865,797,692,687,714,517,421,340,250,179
