ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
3132346,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,66,State Library-New,22
3132345,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,65,Swanston St - City Square,17
3132344,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,64,Royal Pde-Grattan St,6
3132343,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,63,231 Bourke St,14
3132342,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,62,La Trobe St (North),38
3132341,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,61,Swanston St - RMIT Building 14,16
3132340,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,59,Swanston St - RMIT Building 80,0
3132339,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,58,Bourke St - Spencer St (North),42
3132338,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,56,Lonsdale St - Elizabeth St (North),2
3132337,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,55,Elizabeth St-La Trobe St (East),66
3132336,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,54,Lincoln-Swanston(West),5
3132335,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,52,Elizabeth St-Lonsdale St (South),8
3132334,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,51,QVM-Franklin St (North),19
3132333,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,50,Faraday St-Lygon St (West),5
3132332,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,49,QVM-Therry St (South),54
3132331,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,48,QVM-Queen St (East),6
3132330,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,47,Melbourne Central-Elizabeth St (East),29
3132329,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,46,Pelham St (S),9
3132328,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,41,Flinders La-Swanston St (West),92
3132327,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,45,Little Collins St-Swanston St (East),15
3132326,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,35,Southbank,31
3132325,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,44,Tin Alley-Swanston St (West),0
3132324,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,43,Monash Rd-Swanston St (West),0
3132323,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,42,Grattan St-Swanston St (West),6
3132322,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,29,St Kilda Rd-Alexandra Gardens,7
3132321,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,36,Queen St (West),2
3132320,04/30/2020 11:00:00 PM,2020,April,30,Thursday,23,40,Lonsdale St-Spring St (West),0
