Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),37,19,26,12,9,28,29,38,181,296,625,1020,1424,2298,2735,2467,2088,1356,560,314,232,160,88,75
Bourke Street Mall (South),21,13,5,10,6,5,12,28,73,214,416,608,1010,1269,1496,1754,1238,691,339,187,126,74,35,35
Melbourne Central,124,122,55,53,43,54,53,62,134,214,350,595,1071,1634,1498,1896,2452,2370,1813,1045,772,499,338,217
Town Hall (West),64,36,30,34,23,25,60,57,180,320,613,936,1349,1745,1837,2355,2740,2503,1149,568,388,298,205,121
Princes Bridge,70,67,37,40,28,54,47,95,139,237,419,539,803,1002,1258,1351,1323,1340,778,418,381,338,243,154
Flinders Street Station Underpass,58,24,30,22,15,36,66,84,136,196,260,429,480,563,621,712,882,910,440,350,263,216,133,126
Birrarung Marr,9,2,4,11,5,6,27,73,145,148,201,201,248,221,203,188,173,157,70,41,42,39,22,23
Webb Bridge,10,5,5,1,7,5,21,62,103,179,224,266,281,321,360,248,215,181,93,51,59,62,40,43
Southern Cross Station,11,16,8,2,2,4,7,24,26,61,76,96,74,63,91,96,126,141,104,56,39,40,17,17
Victoria Point,7,6,2,3,1,1,11,12,38,40,61,47,52,54,55,42,45,67,66,46,17,39,33,19
Waterfront City,7,9,N/A,2,N/A,2,10,10,28,57,71,72,75,79,81,63,76,76,42,41,30,39,59,7
New Quay,29,19,23,13,2,7,19,35,93,169,232,231,236,284,255,235,230,272,125,156,98,142,107,42
Sandridge Bridge,59,18,19,18,9,23,66,77,139,209,293,432,521,691,676,681,813,794,389,267,226,222,181,103
Collins St (North),10,9,4,5,29,39,24,33,74,222,358,487,673,815,1060,895,814,885,245,123,102,82,36,23
Collins Place (South),6,1,5,5,5,11,27,31,77,129,103,139,225,642,903,590,380,637,113,63,47,31,29,21
Collins Place (North),5,1,2,4,3,6,6,19,30,45,75,94,155,627,1277,638,467,646,110,49,24,17,10,16
Chinatown-Swanston St (North),51,31,16,6,10,7,15,7,42,67,170,317,454,666,706,1090,1225,765,617,522,405,257,141,112
Chinatown-Lt Bourke St (South),20,4,3,9,2,4,7,5,21,36,84,146,252,395,473,1178,1116,445,321,249,236,149,76,49
Flinders St-Elizabeth St (East),155,94,59,49,43,119,125,176,374,554,747,934,1239,1551,1483,1794,2709,3033,1640,1100,832,765,429,273
Spencer St-Collins St (South),19,28,9,4,31,15,19,33,47,69,75,106,100,159,150,172,202,206,184,91,81,64,74,17
Spencer St-Collins St (North),86,66,24,13,8,27,75,153,200,259,364,391,447,692,559,493,457,533,464,299,229,134,140,131
Melbourne Convention Exhibition Centre,51,23,33,26,12,20,65,165,211,466,552,698,894,1028,1164,1079,974,716,353,197,153,151,125,74
QV Market-Elizabeth St (West),129,52,74,34,51,59,72,115,227,382,616,846,914,1053,940,760,586,447,371,265,224,205,125,124
QV Market-Peel St,16,8,15,10,4,6,21,59,81,156,203,237,244,369,223,273,186,141,102,60,80,41,60,48
The Arts Centre,36,15,36,36,24,38,30,36,72,125,210,300,326,559,765,846,782,884,289,125,131,116,60,34
St Kilda Rd-Alexandra Gardens,10,4,N/A,5,N/A,8,12,24,85,114,125,194,243,439,466,461,474,553,170,48,43,46,25,11
Lonsdale St (South),74,35,28,13,17,17,32,15,38,72,148,213,365,539,607,863,1040,630,470,406,275,277,213,164
Lygon St (West),99,31,24,2,16,N/A,7,33,60,58,114,152,164,258,252,249,321,361,542,512,607,454,339,202
Flinders St-Spark La,10,3,4,1,2,4,15,4,28,42,52,63,123,661,807,309,380,1081,118,27,35,6,17,6
Southbank,60,20,8,11,3,14,38,131,239,181,179,280,319,319,344,279,305,405,427,352,330,254,180,91
Queen St (West),18,5,7,8,3,10,20,17,25,54,83,98,112,134,97,116,116,110,108,61,63,53,24,21
