Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),19,14,5,11,7,13,9,26,87,199,413,715,1126,1317,1519,1482,1332,739,329,N/A,N/A,N/A,N/A,N/A
Bourke Street Mall (South),9,11,8,5,5,11,7,23,33,100,221,424,598,757,792,815,594,342,153,N/A,N/A,N/A,N/A,N/A
Melbourne Central,85,66,53,38,19,20,28,44,91,160,271,421,632,802,943,950,937,895,650,N/A,N/A,N/A,N/A,N/A
Town Hall (West),24,26,9,13,16,40,47,51,81,162,368,571,875,938,948,1096,820,604,328,N/A,N/A,N/A,N/A,N/A
Princes Bridge,57,24,27,39,30,27,45,72,119,192,329,523,635,715,728,669,615,512,273,N/A,N/A,N/A,N/A,N/A
Flinders Street Station Underpass,35,25,26,11,11,29,61,49,117,173,269,428,493,602,669,653,535,486,361,N/A,N/A,N/A,N/A,N/A
Birrarung Marr,16,N/A,2,5,5,7,22,41,132,246,334,418,458,471,463,434,387,251,101,N/A,N/A,N/A,N/A,N/A
Southern Cross Station,8,10,11,2,5,4,18,16,14,46,72,65,52,64,85,85,88,64,54,N/A,N/A,N/A,N/A,N/A
Victoria Point,14,4,3,1,1,2,6,N/A,21,16,38,27,55,58,60,39,42,55,57,N/A,N/A,N/A,N/A,N/A
Waterfront City,12,6,N/A,N/A,2,2,3,17,40,54,60,95,125,146,148,78,90,96,66,N/A,N/A,N/A,N/A,N/A
New Quay,23,17,9,6,9,3,15,39,88,151,249,353,386,415,475,408,388,373,259,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,9,10,2,4,5,14,30,34,70,107,184,198,257,250,295,261,219,159,110,N/A,N/A,N/A,N/A,N/A
Collins St (North),10,14,7,3,4,58,23,22,27,65,113,208,226,228,259,312,208,177,79,N/A,N/A,N/A,N/A,N/A
Collins Place (South),7,8,2,5,5,3,15,9,44,78,76,96,137,116,189,102,136,82,43,N/A,N/A,N/A,N/A,N/A
Collins Place (North),1,3,1,N/A,N/A,6,6,5,18,24,38,54,47,53,53,67,52,46,12,N/A,N/A,N/A,N/A,N/A
Chinatown-Swanston St (North),14,34,20,5,3,5,3,9,21,24,85,203,275,353,386,412,377,294,255,N/A,N/A,N/A,N/A,N/A
Chinatown-Lt Bourke St (South),7,8,1,4,N/A,1,4,3,8,24,45,41,120,141,116,107,86,78,74,N/A,N/A,N/A,N/A,N/A
Bourke St-Russell St (West),25,8,12,9,9,14,30,27,40,65,105,203,388,459,397,336,358,385,302,N/A,N/A,N/A,N/A,N/A
