Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),28,16,13,11,12,16,29,37,101,161,298,465,681,727,852,697,593,441,195,111,60,41,39,24
Bourke Street Mall (South),15,5,9,15,5,6,31,13,62,118,266,411,484,569,582,646,483,270,123,40,52,25,8,16
Melbourne Central,56,72,38,23,23,19,23,64,70,116,237,328,431,537,586,543,467,506,315,265,164,150,90,75
Town Hall (West),18,14,9,7,16,24,43,47,122,176,296,444,507,568,654,645,523,348,249,127,69,66,31,38
Princes Bridge,20,15,26,30,18,47,53,53,54,156,223,283,361,305,315,268,216,190,177,108,80,61,43,16
Flinders Street Station Underpass,23,18,6,10,8,40,85,113,113,164,265,337,383,403,497,418,312,263,218,207,137,88,54,23
Birrarung Marr,6,4,1,11,3,4,15,48,96,161,166,233,241,200,200,162,96,90,48,21,16,7,4,7
Webb Bridge,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Southern Cross Station,4,7,7,N/A,6,9,38,28,33,40,79,89,82,64,107,50,44,29,35,25,10,15,12,5
Victoria Point,4,7,2,1,2,11,6,7,35,32,33,25,36,32,20,22,11,34,47,21,20,14,6,1
Waterfront City,1,7,1,2,N/A,N/A,1,11,10,36,31,32,37,46,38,39,8,19,15,11,8,4,N/A,N/A
New Quay,16,13,15,4,2,2,4,44,53,99,123,173,181,142,175,134,58,105,78,53,38,17,23,20
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,7,3,2,7,2,13,27,37,45,89,105,125,177,130,171,125,82,78,80,29,24,9,5,8
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),2,5,2,2,11,15,9,87,110,106,206,245,293,330,336,269,231,160,85,87,65,33,12,6
Collins Place (South),5,3,4,2,9,17,58,56,49,83,118,71,84,85,91,55,56,64,28,13,9,12,8,13
Collins Place (North),1,N/A,1,N/A,1,10,5,11,23,53,92,83,89,103,74,64,29,27,24,6,25,3,2,1
Chinatown-Swanston St (North),6,16,6,5,2,5,8,12,25,27,85,119,248,250,320,295,202,251,183,91,47,52,24,26
Chinatown-Lt Bourke St (South),1,8,1,2,1,2,13,4,19,20,42,75,88,99,105,105,73,58,57,40,40,22,14,13
Bourke St-Russell St (West),6,11,7,5,N/A,13,20,4,31,73,154,208,320,333,336,400,325,291,217,124,94,59,22,20
Flinders St-Elizabeth St (East),43,18,20,14,52,39,63,130,215,329,528,663,816,894,920,948,875,784,671,464,439,319,158,70
Spencer St-Collins St (South),16,8,13,5,14,23,17,32,50,31,51,39,54,56,85,76,73,65,51,43,22,23,22,23
Spencer St-Collins St (North),35,65,32,24,12,51,108,121,105,90,214,250,282,258,330,327,320,306,217,168,138,107,92,51
Melbourne Convention Exhibition Centre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QV Market-Elizabeth St (West),50,52,23,40,35,42,93,100,192,328,515,714,812,818,757,553,280,197,173,124,121,79,73,72
QV Market-Peel St,13,1,4,3,3,5,21,36,81,167,189,232,232,192,195,153,86,85,44,47,25,25,22,6
The Arts Centre,16,9,25,29,20,30,55,39,61,108,189,188,233,225,216,189,147,104,107,71,49,31,7,13
St Kilda Rd-Alexandra Gardens,4,N/A,1,N/A,N/A,5,9,37,48,84,107,129,156,157,137,139,68,65,54,23,17,2,4,N/A
Lonsdale St (South),8,8,10,5,1,14,16,18,29,52,83,169,175,232,245,224,213,170,175,100,87,99,28,25
Lygon St (West),27,18,23,2,9,10,20,30,31,35,72,89,118,100,106,117,106,93,85,108,102,89,68,30
Flinders St-Spring St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Spark La,N/A,4,N/A,N/A,3,19,20,15,22,38,27,43,46,63,43,44,25,21,18,10,9,6,N/A,11
Southbank,18,16,5,4,5,26,97,125,195,283,364,486,568,555,638,521,328,268,188,116,97,37,43,28
Queen St (West),2,4,2,6,4,5,15,7,18,31,45,53,45,43,66,39,32,33,21,10,19,6,5,5
Lygon St (East),1,N/A,7,3,7,4,1,11,20,50,73,93,106,75,73,57,80,57,88,29,30,9,4,6
Alfred Place,3,5,1,N/A,N/A,6,34,16,22,12,29,25,20,38,32,35,10,6,18,14,9,9,7,3
